# x_abs_mm	x_rel_mm	value
10.4838	3.29492	0.0215249
10.506	3.31711	0.0251508
10.5282	3.33929	0.0245034
10.5504	3.36148	0.0255536
10.5726	3.38367	0.0218604
10.5948	3.40586	0.0234317
10.617	3.42805	0.0304304
10.6391	3.45023	0.0282111
10.6613	3.47242	0.0199075
10.6835	3.49461	0.0236933
10.7057	3.5168	0.0142712
10.7279	3.53899	0.0162111
10.7501	3.56117	0.0187832
10.7723	3.58336	0.0289833
10.7945	3.60555	0.0366571
10.8167	3.62774	0.0422844
10.8388	3.64993	0.0402292
10.861	3.67211	0.0432181
10.8832	3.6943	0.0410251
10.9054	3.71649	0.0541208
10.9276	3.73868	0.061859
10.9498	3.76087	0.0431023
10.972	3.78305	0.00594901
10.9942	3.80524	0
11.0163	3.82743	0
11.0385	3.84962	0
11.0607	3.87181	0
11.0829	3.89399	0
11.1051	3.91618	0
11.1273	3.93837	0
11.1495	3.96056	0
11.1717	3.98275	0
11.1938	4.00493	0
11.216	4.02712	0
11.2382	4.04931	0
11.2604	4.0715	0
11.2826	4.09369	0
11.3048	4.11587	0
11.327	4.13806	0
11.3492	4.16025	0
11.3714	4.18244	0
11.3935	4.20463	0
11.4157	4.22681	0
11.4379	4.249	0.00325897
11.4601	4.27119	0.0157569
11.4823	4.29338	0.024671
11.5045	4.31557	0.0195527
11.5267	4.33775	0.0220129
11.5489	4.35994	0.0180195
11.571	4.38213	0.0123144
11.5932	4.40432	0.0143559
11.6154	4.42651	0.0273233
11.6376	4.44869	0.0260857
11.6598	4.47088	0.0274629
11.682	4.49307	0.0360508
11.7042	4.51526	0.0354006
11.7264	4.53745	0.0431072
11.7485	4.55963	0.0477688
11.7707	4.58182	0.0681994
11.7929	4.60401	0.0741975
11.8151	4.6262	0
11.8373	4.64839	0
11.8595	4.67057	0
11.8817	4.69276	0
11.9039	4.71495	0
11.9261	4.73714	0
11.9482	4.75933	0
11.9704	4.78151	0
11.9926	4.8037	0
12.0148	4.82589	0
12.037	4.84808	0
12.0592	4.87027	0
12.0814	4.89245	0
12.1036	4.91464	0
12.1257	4.93683	0
12.1479	4.95902	0
12.1701	4.98121	0
12.1923	5.00339	0
12.2145	5.02558	0
12.2367	5.04777	0
12.2589	5.06996	0
12.2811	5.09215	0
12.3032	5.11433	0
12.3254	5.13652	0
12.3476	5.15871	0
12.3698	5.1809	0
12.392	5.20309	0
12.4142	5.22527	0
12.4364	5.24746	0
12.4586	5.26965	0
12.4808	5.29184	0
12.5029	5.31403	0
12.5251	5.33621	0
12.5473	5.3584	0
12.5695	5.38059	0
12.5917	5.40278	0
12.6139	5.42497	0
12.6361	5.44715	0
12.6583	5.46934	0
12.6804	5.49153	0
12.7026	5.51372	0
12.7248	5.53591	0
12.747	5.55809	0
12.7692	5.58028	0
12.7914	5.60247	0
12.8136	5.62466	0
12.8358	5.64685	0
12.8579	5.66903	0
12.8801	5.69122	0
12.9023	5.71341	0
12.9245	5.7356	0
12.9467	5.75779	0
12.9689	5.77997	0
12.9911	5.80216	0
13.0133	5.82435	0
13.0355	5.84654	0
13.0576	5.86873	0
13.0798	5.89091	0
13.102	5.9131	0
13.1242	5.93529	0
13.1464	5.95748	0
13.1686	5.97967	0
13.1908	6.00185	0
13.213	6.02404	0
13.2351	6.04623	0
13.2573	6.06842	0
13.2795	6.09061	0
13.3017	6.11279	0
13.3239	6.13498	0
13.3461	6.15717	0
13.3683	6.17936	0
13.3905	6.20155	0
13.4126	6.22373	0
13.4348	6.24592	0
13.457	6.26811	0
13.4792	6.2903	0
13.5014	6.31249	0
13.5236	6.33467	0
13.5458	6.35686	0
13.568	6.37905	0
13.5902	6.40124	0
13.6123	6.42343	0
13.6345	6.44561	0
13.6567	6.4678	0
13.6789	6.48999	0
13.7011	6.51218	0
13.7233	6.53437	0
13.7455	6.55655	0
13.7677	6.57874	0
13.7898	6.60093	0
13.812	6.62312	0
