# x_abs_mm	x_rel_mm	value
9.21911	3.1396	0.0437157
9.2413	3.16179	0.0686903
9.26349	3.18398	0.075443
9.28568	3.20617	0.0718405
9.30787	3.22835	0.0577561
9.33005	3.25054	0.040955
9.35224	3.27273	0.0375697
9.37443	3.29492	0.0510647
9.39662	3.31711	0.0683837
9.41881	3.33929	0.0562229
9.44099	3.36148	0.0689351
9.46318	3.38367	0.0789207
9.48537	3.40586	0.0897787
9.50756	3.42805	0.0902822
9.52975	3.45023	0.0859017
9.55193	3.47242	0.0810497
9.57412	3.49461	0.0846245
9.59631	3.5168	0.10054
9.6185	3.53899	0.104143
9.64069	3.56117	0.116644
9.66287	3.58336	0.118497
9.68506	3.60555	0.101452
9.70725	3.62774	0.0744909
9.72944	3.64993	0.0481474
9.75163	3.67211	0.0104362
9.77381	3.6943	0
9.796	3.71649	0
9.81819	3.73868	0
9.84038	3.76087	0
9.86257	3.78305	0
9.88475	3.80524	0
9.90694	3.82743	0
9.92913	3.84962	0
9.95132	3.87181	0
9.97351	3.89399	0
9.99569	3.91618	0
10.0179	3.93837	0
10.0401	3.96056	0
10.0623	3.98275	0
10.0844	4.00493	0
10.1066	4.02712	0
10.1288	4.04931	0
10.151	4.0715	0
10.1732	4.09369	0
10.1954	4.11587	0
10.2176	4.13806	0
10.2398	4.16025	0.000540634
10.262	4.18244	-0.00126604
10.2841	4.20463	-0.00468057
10.3063	4.22681	-0.00371249
10.3285	4.249	-0.011109
10.3507	4.27119	-0.0134428
10.3729	4.29338	-0.0160587
10.3951	4.31557	-0.012945
10.4173	4.33775	-0.00404765
10.4395	4.35994	0.00351755
10.4616	4.38213	0.0215006
10.4838	4.40432	0.0237111
10.506	4.42651	0.0129901
10.5282	4.44869	0.0103387
10.5504	4.47088	0.0224859
10.5726	4.49307	0.0408923
10.5948	4.51526	0.0546425
10.617	4.53745	0.0338109
10.6391	4.55963	0.0283964
10.6613	4.58182	0.0236194
10.6835	4.60401	0.0285272
10.7057	4.6262	0.0354182
10.7279	4.64839	0.0273042
10.7501	4.67057	0.0325903
10.7723	4.69276	0.0363693
10.7945	4.71495	0.0258097
10.8167	4.73714	0.0526453
10.8388	4.75933	0.0623626
10.861	4.78151	0.0586021
10.8832	4.8037	0.0623627
10.9054	4.82589	0.0429285
10.9276	4.84808	-0.000493366
10.9498	4.87027	-0.0194919
10.972	4.89245	-0.01537
10.9942	4.91464	-0.00323211
11.0163	4.93683	-0.00833696
11.0385	4.95902	0
11.0607	4.98121	0
11.0829	5.00339	0
11.1051	5.02558	0
11.1273	5.04777	0
11.1495	5.06996	0
11.1717	5.09215	0
11.1938	5.11433	0
11.216	5.13652	0
11.2382	5.15871	0
11.2604	5.1809	0
11.2826	5.20309	0
11.3048	5.22527	0
11.327	5.24746	0
11.3492	5.26965	0
11.3714	5.29184	0
11.3935	5.31403	0
11.4157	5.33621	0
11.4379	5.3584	0
11.4601	5.38059	0
11.4823	5.40278	0
11.5045	5.42497	0
11.5267	5.44715	0
11.5489	5.46934	0
11.571	5.49153	0
11.5932	5.51372	0
11.6154	5.53591	0
11.6376	5.55809	0
11.6598	5.58028	0
11.682	5.60247	0
11.7042	5.62466	0
11.7264	5.64685	0
11.7485	5.66903	0
11.7707	5.69122	0
11.7929	5.71341	0
11.8151	5.7356	0
11.8373	5.75779	0
11.8595	5.77997	0
11.8817	5.80216	0
11.9039	5.82435	0
11.9261	5.84654	0
11.9482	5.86873	0
11.9704	5.89091	0
11.9926	5.9131	0
12.0148	5.93529	0
12.037	5.95748	0
12.0592	5.97967	0
12.0814	6.00185	0
12.1036	6.02404	0
12.1257	6.04623	0
12.1479	6.06842	0
